"Unicode","character","UTF-8","name","utf_link","download_link","supply","limit_mint","remaining","deploy","sales","holders"
"U+1F371","🍱","f0 9f 8d b1","BENTO BOX","%F0%9F%8D%B1","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B1",1,1,0,7072846,0,1
"U+1F372","🍲","f0 9f 8d b2","POT OF FOOD","%F0%9F%8D%B2","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B2",2100000,10000,2090000,7291012,0,1
"U+1F373","🍳","f0 9f 8d b3","COOKING","%F0%9F%8D%B3","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B3",3000,1,3000,5837463,0,0
"U+1F374","🍴","f0 9f 8d b4","FORK AND KNIFE","%F0%9F%8D%B4","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B4",144,144,144,3739923,0,0
"U+1F375","🍵","f0 9f 8d b5","TEACUP WITHOUT HANDLE","%F0%9F%8D%B5","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B5",21000000,1,20999979,4668526,0,2
"U+1F376","🍶","f0 9f 8d b6","SAKE BOTTLE AND CUP","%F0%9F%8D%B6","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B6",777,1,777,5837554,0,0
"U+1F377","🍷","f0 9f 8d b7","WINE GLASS","%F0%9F%8D%B7","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B7",69,1,0,432548,0,12
"U+1F378","🍸","f0 9f 8d b8","COCKTAIL GLASS","%F0%9F%8D%B8","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B8",1000,1,1000,1598646,0,0
"U+1F379","🍹","f0 9f 8d b9","TROPICAL DRINK","%F0%9F%8D%B9","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%B9",1000,1,1000,1598647,0,0
"U+1F37A","🍺","f0 9f 8d ba","BEER MUG","%F0%9F%8D%BA","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%BA",1000,1,958,445596,0,10
"U+1F37B","🍻","f0 9f 8d bb","CLINKING BEER MUGS","%F0%9F%8D%BB","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%BB",999999,99,999999,428532,0,0
"U+1F37C","🍼","f0 9f 8d bc","BABY BOTTLE","%F0%9F%8D%BC","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%BC",9,3,0,5845867,0,3
"U+1F37D","🍽","f0 9f 8d bd","FORK AND KNIFE WITH PLATE","%F0%9F%8D%BD","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%BD",21,21,0,7063925,0,1
"U+1F37E","🍾","f0 9f 8d be","BOTTLE WITH POPPING CORK","%F0%9F%8D%BE","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%BE",1000,1,994,1598652,0,2
"U+1F37F","🍿","f0 9f 8d bf","POPCORN","%F0%9F%8D%BF","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%BF",21000,21,20496,432666,0,1
"U+1F380","🎀","f0 9f 8e 80","RIBBON","%F0%9F%8E%80","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8E%80",100000,3000,0,3474111,0,13
"U+1F381","🎁","f0 9f 8e 81","WRAPPED PRESENT","%F0%9F%8E%81","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8E%81",99,1,0,617086,0,25
"U+1F382","🎂","f0 9f 8e 82","BIRTHDAY CAKE","%F0%9F%8E%82","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8E%82",99999,9,99846,1862045,0,3
"U+1F383","🎃","f0 9f 8e 83","JACK-O-LANTERN","%F0%9F%8E%83","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8E%83",100,1,0,1172762,0,14
